Industry,Average Total ESG Score
Utilities,1190.6333333333334
Tobacco,1165.0
Industrial Conglomerates,1157.0
Packaging,1146.6666666666667
Food Products,1136.3076923076924
Energy,1136.111111111111
Distributors,1109.6666666666667
Building,1098.5714285714287
Construction,1082.6666666666667
Chemicals,1078.6470588235295
Road & Rail,1062.4
Beverages,1061.0
Aerospace & Defense,1048.1818181818182
Technology,1039.6530612244899
Machinery,1036.7368421052631
Semiconductors,1030.5833333333333
Logistics & Transportation,1030.2
Life Sciences Tools & Services,1023.0833333333334
Insurance,1019.72
Professional Services,1018.4
Real Estate,1000.9354838709677
Metals & Mining,987.0
Commercial Services & Supplies,986.8
"Textiles, Apparel, & Luxury Goods",984.875
Consumer Products,977.5
Electrical Equipment,963.5652173913044
Health Care,958.9047619047619
Pharmaceuticals,955.0
Auto Components,950.0
Media,949.7777777777778
Automobiles,938.0
Financial Services,932.0714285714286
Telecommunication,928.3333333333334
Retail,920.375
"Hotels, Restaurants, & Leisure",917.695652173913
Communications,912.75
Diversified Consumer Services,912.0
Trading Companies & Distributors,900.6666666666666
Banking,896.28
Biotechnology,883.4054054054054
Marine,865.3333333333334
Airlines,838.7142857142857
Leisure Products,780.0
